iter	Passed	Remaining
419	2759	3810
420	2764	3802
421	2770	3794
422	2776	3787
423	2783	3781
424	2789	3773
425	2794	3764
426	2799	3756
427	2805	3748
428	2810	3740
429	2815	3731
430	2820	3723
431	2825	3715
432	2831	3708
433	2837	3700
434	2842	3691
435	2847	3683
436	2852	3675
437	2857	3667
438	2863	3659
439	2868	3651
440	2873	3642
441	2879	3635
442	2884	3627
443	2889	3618
444	2895	3610
445	2900	3602
446	2905	3594
447	2910	3586
448	2916	3579
449	2921	3570
450	2926	3562
451	2931	3554
452	2937	3546
453	2944	3540
454	2951	3535
455	2958	3529
456	2963	3521
457	2971	3516
458	2977	3509
459	2984	3503
460	2992	3499
461	3007	3502
462	3014	3495
463	3021	3490
464	3027	3482
465	3032	3475
466	3037	3467
467	3043	3459
468	3048	3451
469	3053	3443
470	3059	3436
471	3065	3428
472	3069	3420
473	3076	3414
474	3081	3406
475	3086	3397
476	3091	3389
477	3097	3382
478	3101	3373
479	3107	3366
480	3112	3358
481	3117	3350
482	3123	3343
483	3131	3338
484	3137	3331
485	3142	3323
486	3147	3315
487	3152	3307
488	3157	3299
489	3162	3291
490	3168	3284
491	3173	3276
492	3178	3268
493	3183	3260
494	3189	3253
495	3193	3245
496	3199	3237
497	3203	3229
498	3208	3221
499	3214	3214
500	3219	3206
501	3223	3198
502	3228	3190
503	3233	3182
504	3238	3174
505	3243	3166
506	3248	3158
507	3253	3151
508	3259	3144
509	3265	3137
510	3269	3128
511	3274	3121
512	3279	3113
513	3286	3107
514	3292	3100
515	3297	3092
516	3301	3084
517	3306	3077
518	3312	3069
519	3317	3062
520	3323	3055
521	3328	3047
522	3333	3040
523	3339	3033
524	3344	3026
525	3350	3019
526	3357	3013
527	3362	3005
528	3368	2999
529	3373	2991
530	3379	2984
531	3384	2977
532	3390	2970
533	3396	2963
534	3402	2957
535	3407	2949
536	3412	2942
537	3418	2935
538	3422	2927
539	3428	2920
540	3433	2913
541	3438	2905
542	3444	2898
543	3448	2890
544	3453	2883
545	3458	2876
546	3463	2868
547	3468	2860
548	3473	2853
549	3478	2845
550	3482	2838
551	3488	2831
552	3493	2823
553	3498	2816
554	3507	2812
555	3512	2805
556	3518	2798
557	3522	2790
558	3527	2782
559	3532	2775
560	3537	2768
561	3542	2761
562	3548	2754
563	3552	2746
564	3557	2739
565	3562	2731
566	3567	2724
567	3572	2717
568	3578	2710
569	3583	2703
570	3588	2696
571	3593	2689
572	3598	2681
573	3603	2674
574	3609	2667
575	3614	2660
576	3619	2653
577	3624	2646
578	3630	2639
579	3635	2632
580	3641	2626
581	3646	2618
582	3651	2611
583	3656	2604
584	3660	2597
585	3666	2590
586	3671	2583
587	3676	2576
588	3681	2568
589	3686	2561
590	3691	2554
591	3695	2547
592	3701	2540
593	3706	2533
594	3711	2526
595	3716	2518
596	3721	2512
597	3726	2505
598	3732	2498
599	3739	2493
600	3746	2487
601	3751	2480
602	3756	2473
603	3762	2466
604	3767	2460
605	3772	2452
606	3777	2445
607	3783	2439
608	3789	2433
609	3796	2427
610	3802	2420
611	3808	2414
612	3813	2407
613	3819	2400
614	3825	2394
615	3830	2387
616	3834	2380
617	3839	2373
618	3844	2366
619	3851	2360
620	3857	2354
621	3863	2347
622	3868	2341
623	3873	2333
624	3878	2326
625	3883	2320
626	3889	2313
627	3894	2306
628	3899	2300
629	3906	2294
630	3911	2287
631	3916	2280
632	3920	2273
633	3926	2266
634	3931	2260
635	3936	2253
636	3941	2246
637	3946	2239
638	3951	2232
639	3957	2225
640	3962	2219
641	3966	2211
642	3971	2205
643	3977	2198
644	3981	2191
645	3987	2185
646	3992	2178
647	3997	2171
648	4002	2164
649	4007	2157
650	4012	2151
651	4018	2144
652	4023	2138
653	4028	2131
654	4033	2124
655	4039	2118
656	4045	2112
657	4051	2105
658	4058	2099
659	4063	2093
660	4068	2086
661	4073	2079
662	4078	2072
663	4084	2066
664	4091	2060
665	4099	2055
666	4104	2049
667	4110	2042
668	4116	2036
669	4121	2030
670	4126	2023
671	4130	2016
672	4136	2009
673	4142	2003
674	4148	1997
675	4154	1991
676	4159	1984
677	4164	1977
678	4169	1971
679	4174	1964
680	4179	1957
681	4183	1950
682	4189	1944
683	4194	1937
684	4201	1932
685	4207	1925
686	4213	1919
687	4220	1913
688	4226	1907
689	4232	1901
690	4237	1894
691	4241	1888
692	4247	1881
693	4252	1875
694	4257	1868
695	4262	1861
696	4267	1855
697	4272	1848
698	4280	1843
699	4287	1837
700	4292	1830
701	4297	1824
702	4302	1817
703	4308	1811
704	4313	1805
705	4318	1798
706	4324	1792
707	4329	1785
708	4334	1779
709	4339	1772
710	4344	1765
711	4348	1759
712	4355	1753
713	4363	1747
714	4368	1741
715	4373	1734
716	4378	1728
717	4383	1721
718	4388	1715
719	4393	1708
720	4399	1702
721	4404	1695
722	4409	1689
723	4413	1682
724	4420	1676
725	4424	1670
726	4429	1663
727	4434	1656
728	4439	1650
729	4444	1643
730	4450	1637
731	4455	1631
732	4460	1624
733	4465	1618
734	4470	1611
735	4475	1605
736	4481	1599
737	4487	1593
738	4494	1587
739	4499	1580
740	4506	1575
741	4511	1568
742	4517	1562
743	4523	1556
744	4530	1550
745	4536	1544
746	4542	1538
747	4548	1532
748	4553	1525
749	4558	1519
750	4565	1513
751	4570	1507
752	4576	1501
753	4581	1494
754	4588	1488
755	4594	1482
756	4599	1476
757	4605	1470
758	4610	1463
759	4616	1457
760	4621	1451
761	4626	1445
762	4632	1438
763	4639	1433
764	4645	1427
765	4651	1420
766	4655	1414
767	4663	1408
768	4670	1403
769	4676	1396
770	4682	1390
771	4687	1384
772	4695	1378
773	4700	1372
774	4705	1366
775	4712	1360
776	4717	1354
777	4723	1347
778	4729	1341
779	4734	1335
780	4740	1329
781	4745	1322
782	4751	1316
783	4757	1310
784	4763	1304
785	4767	1298
786	4773	1291
787	4779	1285
788	4785	1279
789	4791	1273
790	4799	1268
791	4805	1261
792	4810	1255
793	4817	1249
794	4824	1243
795	4829	1237
796	4837	1232
797	4843	1225
798	4851	1220
799	4857	1214
800	4863	1208
801	4869	1202
802	4875	1196
803	4881	1190
804	4887	1183
805	4893	1177
806	4899	1171
807	4905	1165
808	4910	1159
809	4917	1153
810	4922	1147
811	4928	1141
812	4933	1134
813	4939	1128
814	4944	1122
815	4950	1116
816	4955	1110
817	4961	1103
818	4966	1097
819	4971	1091
820	4977	1085
821	4983	1079
822	4989	1073
823	4996	1067
824	5002	1061
825	5009	1055
826	5016	1049
827	5026	1044
828	5034	1038
829	5042	1032
830	5055	1028
831	5061	1022
832	5066	1015
833	5071	1009
834	5077	1003
835	5085	997
836	5094	992
837	5102	986
838	5107	980
839	5113	973
840	5120	968
841	5128	962
842	5135	956
843	5141	950
844	5147	944
845	5152	937
846	5158	931
847	5164	925
848	5172	919
849	5180	914
850	5188	908
851	5194	902
852	5198	895
853	5204	889
854	5210	883
855	5215	877
856	5223	871
857	5229	865
858	5235	859
859	5241	853
860	5247	847
861	5252	840
862	5257	834
863	5262	828
864	5268	822
865	5274	816
866	5283	810
867	5289	804
868	5295	798
869	5301	792
870	5307	786
871	5313	779
872	5319	773
873	5324	767
874	5333	761
875	5347	756
876	5354	750
877	5363	745
878	5374	739
879	5383	734
880	5399	729
881	5409	723
882	5415	717
883	5421	711
884	5426	705
885	5431	698
886	5438	692
887	5444	686
888	5449	680
889	5454	674
890	5459	667
891	5464	661
892	5469	655
893	5474	649
894	5479	642
895	5484	636
896	5489	630
897	5493	624
898	5498	617
899	5503	611
900	5508	605
901	5513	598
902	5517	592
903	5523	586
904	5527	580
905	5532	573
906	5537	567
907	5541	561
908	5546	555
909	5551	549
910	5555	542
911	5560	536
912	5565	530
913	5569	524
914	5574	517
915	5579	511
916	5583	505
917	5588	499
918	5593	492
919	5598	486
920	5602	480
921	5607	474
922	5612	468
923	5617	462
924	5621	455
925	5626	449
926	5631	443
927	5636	437
928	5640	431
929	5645	424
930	5650	418
931	5654	412
932	5659	406
933	5663	400
934	5668	394
935	5673	387
936	5677	381
937	5682	375
938	5687	369
939	5692	363
940	5696	357
941	5701	351
942	5705	344
943	5710	338
944	5714	332
945	5719	326
946	5724	320
947	5729	314
948	5733	308
949	5738	302
950	5743	295
951	5748	289
952	5753	283
953	5757	277
954	5762	271
955	5766	265
956	5771	259
957	5776	253
958	5781	247
959	5786	241
960	5790	235
961	5795	228
962	5800	222
963	5805	216
964	5816	210
965	5822	204
966	5830	198
967	5837	192
968	5842	186
969	5846	180
970	5851	174
971	5856	168
972	5861	162
973	5866	156
974	5871	150
975	5877	144
976	5881	138
977	5886	132
978	5891	126
979	5896	120
980	5900	114
981	5905	108
982	5910	102
983	5916	96
984	5923	90
985	5927	84
986	5932	78
987	5936	72
988	5941	66
989	5946	60
990	5950	54
991	5955	48
992	5959	42
993	5965	36
994	5971	30
995	5975	23
996	5980	17
997	5986	11
998	5991	5
999	5996	0
8	0
