iter	Logloss
0	0.674047740211	0.6561347602	2	0.6376574473	0.6207345763
4	0.6058148776
55	0.592244220666	0.579206841277	0.565738919988	0.552480649299	0.5401433291010	0.5284020111111	0.5180066251
12	0.5077053213	13	0.4972385914	14	0.4892843215	15	0.4806092616	16	0.4734773817	17	0.4655512618	18	0.4585395919	19	0.4511464920	20	0.44453021	0.21	0.43801822	0.22	0.43183223	0.23	0.42618124	0.24	0.42097125	0.25	0.41458226	0.26	0.41017327	0.27	0.40516228	0.28	0.40008729	0.29	0.3955159238
30	0.3913878825
31	0.387162185
32	0.3832744306
33	0.379059542
34	0.3750629834
35	0.3714264926
36	0.367727337	037	0.364313538	038	0.361186439	039	0.35851540	040	0.355812541	41	0.3532359982
42	0.350829779
43	0.3484082137
44	0.345907723
45	0.3434431939
46	0.3416098623
47	0.3394767222
48	0.337379446
49	0.3356888895
50	0.3339949737
51	0.332142495
52	0.3303628554
53	0.3284656635
54	0.3270243907
55	0.3254576758
56	0.3239077482
57	0.3224996953
58	0.3210438081
59	0.3199458438
60	0.3186601058
61	0.317519531
62	0.3163918088
63	0.315098135
64	0.3137238253
65	0.312628985
66	0.3113110182
67	0.3103462301
68	0.3092285887
69	0.3081943647
70	0.3073624909
71	0.3065617243
72	0.3058004324
73	0.3049752423
74	0.3040283531
75	0.3032736422
76	0.3024590597
77	0.3017608763
78	0.3011543299
79	0.3005198791
80	0.2998429893
81	0.2990440465
82	0.2984435109
83	0.2978237831
84	0.2972725225
85	0.2966765219
86	0.2961770991
87	0.2953258579
88	0.2946944744
89	0.2940945859
90	0.2936341723
91	0.2933356979
92	0.2927613178
93	0.2923183404
94	0.2917254209
95	0.2912340681
96	0.2907469384
97	0.2902452058
98	0.2897333106
99	0.2891292906
100	0.2886983209
101	0.2883333089
102	0.2878380816
103	0.2874908824
104	0.2870052797
105	0.2864374761
106	0.2860537076
107	0.2858313362
108	0.2855310467
109	0.2852067236
110	0.2849083875
111	0.2846410238
112	0.2843949254
113	0.2841820512
114	0.2836596717
115	0.2833604377
116	0.2830185025
117	0.2826565159
118	0.2823805625
119	0.2820843905
120	0.2818183461
121	0.2816232989
122	0.2813040583
123	0.2810473247
124	0.2807330736
125	0.2803469497
126	0.2800267036
127	0.2797797981
128	0.2793927798
129	0.2791798779
130	0.2788726477
131	0.2786212326
132	0.2783637702
133	0.2782493681
134	0.2781145474
135	0.2779318896
136	0.2776819111
137	0.2773238336
138	0.2770350257
139	0.2767746476
140	0.2764915469
141	0.276285518
142	0.2761104228
143	0.2758850687
144	0.2756756615
145	0.2754332675
146	0.2752834687
147	0.2750551695
148	0.2748149	149149	0.2747150	150	0.2835031151	151	0.2832425152	152	0.2830931153	153	0.282884154	0154	0.282772155	0155	0.282575156	0156	0.282415157	0157	0.282272158	0158	0.2820714103
159	0.28194160	0.160	0.28176161	0.161	0.2815382643
162	0.2813908264
163	0.281212018
164	0.280967609
165	0.2808233847
166	0.280605128
167	0.2804927761
168	0.2803204889
169	0.280249668
170	0.28008247417171	0.27996427317172	0.27970696017173	0.2796026788
174	0.2793581643
175	0.2792772869
176	0.2790950776
177	0.2789457559
178	0.2788263078
179	0.2786917992
180	0.2785007773
181	0.2783401954
182	0.2781622536
183	0.2780628628
184	0.2779531238
185	0.2777411436
186	0.2775717105
187	0.2774604295
188	0.2773206624
189	0.277232414
190	0.2771587543
191	0.2770027393
192	0.2769118893
193	0.2768067573
194	0.276716815
195	0.2765321393
196	0.2764041592
197	0.2762745424
198	0.2761341594
199	0.2760306926
200	0.2758695155
201	0.2757523082
202	0.2755943087
203	0.2754660069
204	0.2753575637
205	0.2752363848
206	0.2750821077
207	0.2748974321
208	0.274752533
209	0.2745430409
210	0.274395634
211	0.2743037959
212	0.2741489012
213	0.2740365141
214	0.2739258983
215	0.2738076228
216	0.2736583964
217	0.2735556686
218	0.2734814073
219	0.2732775984
220	0.2731384938
221	0.2730180811
222	0.2729321166
223	0.2728888382
224	0.2727858663
225	0.2727031481
226	0.2725497308
227	0.272462154
228	0.2723935149
229	0.2722578695
230	0.2720675348
231	0.271990403
232	0.2718687176
233	0.2717990435
234	0.271702718
235	0.2715537001
236	0.2713216272
237	0.2712290341
238	0.2711480032
239	0.2710387947
240	0.270907413
241	0.2708055098
242	0.2707513427
243	0.2706561235
244	0.270593488
245	0.2705186441
246	0.2704231924
247	0.2702743094
248	0.2701083313
249	0.2700233821
250	0.2699161822
251	0.2697182206
252	0.2695774383
253	0.2694347267
254	0.2693483965
255	0.2693073139
256	0.2691756893
257	0.269121909
258	0.2690430213
259	0.2689599193
260	0.2688127834
261	0.268758534
262	0.2686519477
263	0.268558634
264	0.2685030865
265	0.2684486708
266	0.2682974902
267	0.2682225319
268	0.2681733477
269	0.2680180473
270	0.2679806763
271	0.2678546631
272	0.2677518207
273	0.2677057464
274	0.2676456218
275	0.2675867245
276	0.2674990761
277	0.2674041308
278	0.2673232672
279	0.2672662824
280	0.2671862823
281	0.267064005
282	0.2669747309
283	0.2668666797
284	0.2668034723
285	0.2667296897
286	0.2666203339
287	0.2664911489
288	0.2663888989
289	0.2662516721
290	0.2661451717
291	0.2659645051
292	0.265903866
293	0.2658211879
294	0.2657832232
295	0.2655502802
296	0.2653929104
297	0.2653277302
298	0.2652765684
299	0.2652382219
300	0.2652022012
301	0.2651158444
302	0.2649807867
303	0.2649094636
304	0.2647826781
305	0.2646639191
306	0.2646137939
307	0.2645005136
308	0.2643954274
309	0.264323671
310	0.2642055167
311	0.264169691
312	0.2641048198
313	0.2640174459
314	0.2639582523
315	0.2638678918
316	0.2638007788
317	0.2637600052
318	0.2636755515
319	0.2635440746
320	0.263476308
321	0.2633122348
322	0.2632812918
323	0.2630802939
324	0.2630318577
325	0.2629388852
326	0.2628756636
327	0.2627775981
328	0.2627082847
329	0.2626618053
330	0.2626275177
331	0.2624481084
332	0.2623100465
333	0.2622024511
334	0.2621249068
335	0.2619897613
336	0.2619159321
337	0.2618604139
338	0.2618004774
339	0.2616706537
340	0.2615737311
341	0.2615215733
342	0.2614367121
343	0.2613600429
344	0.2612850932
345	0.2611890732
346	0.2611376094
347	0.2610862976
348	0.2610259862
349	0.2609923698
350	0.2609631696
351	0.2608926609
352	0.2608559479
353	0.2607820977
354	0.2606458078
355	0.2606017246
356	0.2604756452
357	0.2604715857
358	0.2604340886
359	0.2603443561
360	0.2601089118
361	0.2600569072
362	0.2600257337
363	0.2598706564
364	0.2598131668
365	0.2597385188
366	0.2596791943
367	0.2596253102
368	0.2595216762
369	0.2594660833
370	0.2594137705
371	0.2593458074
372	0.259119417
373	0.2590717313
374	0.2590010668
375	0.2588525797
376	0.2587264213
377	0.2586623261
378	0.2586327691
379	0.2586128828
380	0.2585798635
381	0.2584775976
382	0.2584145776
383	0.2583301084
384	0.2582454333
385	0.2581898459
386	0.2581169591
387	0.2580039319
388	0.2579110207
389	0.2577854341
390	0.2576934363
391	0.2575621798
392	0.2575197344
393	0.2574760376
394	0.2574173316
395	0.2572988752
396	0.2572342423
397	0.2571225857
398	0.2569935416
399	0.2569350901
400	0.2568819799
401	0.2568323698
402	0.2567525611
403	0.256702601
404	0.2566133391
405	0.2565268571
406	0.256483389
407	0.2564600574
408	0.2564083897
409	0.2563464823
410	0.2562659462
411	0.2562256143
412	0.25614853
413	0.2560730412
414	0.255934105
415	0.2558605367
416	0.2557769258
417	0.25571261
418	0.2556029847
419	0.2555567751
420	0.2554208484
421	0.2553627135
422	0.2552736141
423	0.2551613568
424	0.2551044447
425	0.2550502955
426	0.2549909576
427	0.2549483496
428	0.2547703882
429	0.2546560531
430	0.2546168704
431	0.254478444
432	0.2543692841
433	0.2542426731
434	0.254209958
435	0.2540688553
436	0.253989071
437	0.2539554438
438	0.2539148476
439	0.2537329228
440	0.2536478593
441	0.2536057391
442	0.2534998463
443	0.2533492575
444	0.2532534451
445	0.253136827
446	0.2530590003
447	0.252975698
448	0.2529297542
449	0.2528267079
450	0.2527473205
451	0.2526171552
452	0.2524746385
453	0.2524424845
454	0.2524047979
455	0.2523684363
456	0.2522465326
457	0.2521032275
458	0.2520650388
459	0.2519903841
460	0.2518631806
461	0.2517989739
462	0.2517405335
463	0.2517044732
464	0.2516295978
465	0.2515629364
466	0.2514842872
467	0.2514404429
468	0.2513959868
469	0.2512574013
470	0.2512081231
471	0.2510965751
472	0.2510045434
473	0.2508595583
474	0.2507040252
475	0.2506624979
476	0.2505343191
477	0.2504079584
478	0.2503411522
479	0.2502523053
480	0.2500782042
481	0.2499909893
482	0.2499307924
483	0.2498895065
484	0.249708462
485	0.249575565
486	0.249430932
487	0.2492927553
488	0.249219053
489	0.2491562868
490	0.2490828235
491	0.2489614269
492	0.2489038189
493	0.248778683
494	0.2485970566
495	0.2485482889
496	0.2484604806
497	0.2483696076
498	0.2482839516
499	0.2481684556
500	0.2481481288
501	0.2480870156
502	0.2480414959
503	0.2479817654
504	0.2478855442
505	0.2477979343
506	0.2476111892
507	0.2474822094
508	0.2473758013
509	0.2472496194
510	0.2471730255
511	0.2471020848
512	0.2470332042
513	0.2468869952
514	0.2467426151
515	0.2466472728
516	0.2464906596
517	0.2463672669
518	0.246258447
519	0.2461651785
520	0.2460061288
521	0.2458854573
522	0.2457897153
523	0.2457000934
524	0.2455371071
525	0.245504149
526	0.2454279502
527	0.2453542449
528	0.2452429797
529	0.2451898893
530	0.2450419704
531	0.2449010368
532	0.2447804565
533	0.2446487156
534	0.2446010241
535	0.2445717408
536	0.2444470644
537	0.244333872
538	0.2442777366
539	0.2441949077
540	0.2441346966
541	0.2440201083
542	0.2438669554
543	0.2437254716
544	0.2436087582
545	0.2435002528
546	0.243461045
547	0.243338704
548	0.243313557
549	0.2432218601
550	0.2431344512
551	0.243025536
552	0.2429989159
